iter	Passed	Remaining
402	11124	16479
403	11169	16477
404	11194	16446
405	11223	16420
406	11245	16384
407	11268	16349
408	11291	16316
409	11323	16294
410	11347	16261
411	11371	16228
412	11398	16200
413	11422	16167
414	11443	16131
415	11467	16097
416	11501	16080
417	11527	16050
418	11550	16016
419	11574	15983
420	11600	15954
421	11625	15923
422	11648	15889
423	11686	15875
424	11711	15844
425	11733	15810
426	11762	15783
427	11788	15754
428	11814	15724
429	11843	15699
430	11873	15674
431	11896	15641
432	11920	15608
433	11943	15575
434	11968	15544
435	11994	15516
436	12028	15496
437	12053	15465
438	12077	15433
439	12103	15404
440	12126	15371
441	12162	15354
442	12202	15343
443	12226	15311
444	12252	15281
445	12280	15254
446	12307	15225
447	12330	15193
448	12368	15178
449	12394	15148
450	12419	15117
451	12440	15082
452	12464	15050
453	12488	15019
454	12520	14997
455	12547	14968
456	12570	14936
457	12595	14905
458	12616	14870
459	12639	14837
460	12663	14806
461	12695	14783
462	12721	14755
463	12746	14724
464	12769	14691
465	12794	14661
466	12818	14629
467	12844	14600
468	12874	14576
469	12899	14545
470	12924	14515
471	12949	14485
472	12974	14456
473	13001	14428
474	13036	14409
475	13061	14378
476	13083	14345
477	13107	14313
478	13136	14288
479	13163	14260
480	13199	14242
481	13223	14211
482	13246	14178
483	13272	14149
484	13298	14120
485	13320	14087
486	13343	14055
487	13381	14040
488	13405	14008
489	13427	13975
490	13450	13944
491	13474	13912
492	13497	13880
493	13525	13853
494	13555	13829
495	13579	13798
496	13604	13768
497	13627	13737
498	13650	13705
499	13674	13674
500	13698	13644
501	13732	13623
502	13756	13592
503	13782	13563
504	13805	13531
505	13831	13503
506	13860	13477
507	13891	13454
508	13913	13421
509	13937	13390
510	13961	13360
511	13986	13330
512	14008	13298
513	14030	13266
514	14064	13244
515	14087	13213
516	14108	13180
517	14139	13156
518	14166	13129
519	14193	13101
520	14226	13079
521	14250	13049
522	14275	13019
523	14300	12990
524	14322	12958
525	14352	12933
526	14390	12916
527	14422	12892
528	14451	12867
529	14486	12846
530	14517	12822
531	14556	12805
532	14582	12776
533	14609	12748
534	14632	12718
535	14658	12689
536	14682	12659
537	14721	12641
538	14747	12613
539	14774	12585
540	14798	12555
541	14825	12527
542	14850	12498
543	14885	12477
544	14911	12449
545	14938	12421
546	14963	12392
547	14988	12362
548	15014	12334
549	15043	12308
550	15077	12286
551	15102	12256
552	15135	12234
553	15165	12209
554	15194	12183
555	15232	12163
556	15257	12134
557	15285	12107
558	15310	12078
559	15337	12051
560	15366	12024
561	15409	12009
562	15438	11983
563	15469	11958
564	15499	11933
565	15524	11904
566	15548	11873
567	15571	11843
568	15595	11812
569	15633	11793
570	15657	11763
571	15683	11735
572	15707	11705
573	15730	11674
574	15754	11644
575	15777	11613
576	15809	11589
577	15834	11561
578	15861	11533
579	15883	11502
580	15908	11473
581	15931	11442
582	15965	11419
583	15989	11389
584	16013	11359
585	16036	11329
586	16065	11303
587	16086	11271
588	16130	11255
589	16158	11228
590	16182	11199
591	16206	11169
592	16230	11139
593	16254	11109
594	16282	11083
595	16311	11056
596	16335	11027
597	16358	10996
598	16382	10967
599	16407	10938
600	16431	10908
601	16465	10886
602	16489	10856
603	16519	10830
604	16546	10802
605	16573	10775
606	16598	10746
607	16637	10726
608	16662	10697
609	16686	10668
610	16710	10639
611	16734	10609
612	16758	10580
613	16782	10550
614	16810	10523
615	16833	10493
616	16855	10462
617	16876	10431
618	16899	10401
619	16922	10371
620	16946	10342
621	16981	10320
622	17005	10290
623	17030	10261
624	17055	10233
625	17077	10202
626	17114	10181
627	17149	10158
628	17177	10131
629	17201	10102
630	17224	10072
631	17249	10044
632	17273	10014
633	17305	9990
634	17328	9960
635	17351	9930
636	17373	9900
637	17401	9873
638	17426	9845
639	17474	9829
640	17544	9825
641	17602	9815
642	17631	9789
643	17675	9770
644	17704	9744
645	17743	9723
646	17768	9694
647	17796	9667
648	17822	9639
649	17850	9611
650	17876	9583
651	17904	9556
652	17930	9528
653	17956	9500
654	17982	9471
655	18010	9444
656	18034	9415
657	18060	9386
658	18093	9362
659	18133	9341
660	18161	9314
661	18185	9285
662	18210	9256
663	18235	9227
664	18258	9198
665	18287	9171
666	18321	9146
667	18345	9117
668	18367	9087
669	18395	9060
670	18418	9030
671	18440	9000
672	18471	8975
673	18500	8948
674	18524	8919
675	18546	8889
676	18570	8860
677	18591	8829
678	18615	8800
679	18651	8777
680	18677	8749
681	18705	8721
682	18735	8695
683	18762	8668
684	18788	8639
685	18821	8615
686	18845	8586
687	18867	8556
688	18890	8526
689	18913	8497
690	18938	8468
691	18977	8446
692	19001	8417
693	19025	8388
694	19047	8358
695	19076	8332
696	19103	8304
697	19140	8281
698	19162	8251
699	19188	8223
700	19214	8195
701	19237	8166
702	19260	8136
703	19282	8107
704	19315	8082
705	19337	8052
706	19358	8022
707	19380	7992
708	19404	7964
709	19428	7935
710	19450	7906
711	19485	7881
712	19509	7852
713	19532	7823
714	19554	7794
715	19578	7765
716	19602	7737
717	19627	7708
718	19660	7683
719	19686	7655
720	19710	7627
721	19736	7599
722	19756	7569
723	19780	7540
724	19817	7517
725	19840	7487
726	19864	7459
727	19886	7429
728	19907	7400
729	19931	7372
730	19954	7342
731	19992	7319
732	20017	7291
733	20041	7263
734	20078	7239
735	20105	7211
736	20137	7186
737	20162	7157
738	20186	7129
739	20210	7101
740	20233	7072
741	20259	7044
742	20285	7016
743	20320	6991
744	20343	6963
745	20366	6934
746	20388	6905
747	20413	6877
748	20436	6848
749	20463	6821
750	20494	6794
751	20517	6766
752	20540	6737
753	20563	6708
754	20585	6679
755	20609	6651
756	20640	6625
757	20663	6596
758	20687	6568
759	20712	6540
760	20735	6512
761	20760	6484
762	20800	6461
763	20824	6432
764	20849	6404
765	20876	6377
766	20903	6350
767	20927	6321
768	20965	6297
769	20989	6269
770	21014	6241
771	21040	6214
772	21074	6188
773	21104	6162
774	21140	6137
775	21165	6109
776	21191	6081
777	21214	6053
778	21238	6025
779	21260	5996
780	21285	5968
781	21320	5943
782	21344	5915
783	21367	5886
784	21388	5857
785	21412	5829
786	21433	5801
787	21457	5772
788	21489	5746
789	21513	5718
790	21538	5690
791	21561	5662
792	21584	5634
793	21613	5607
794	21648	5582
795	21672	5554
796	21696	5526
797	21721	5498
798	21747	5471
799	21772	5443
800	21809	5418
801	21832	5390
802	21860	5363
803	21883	5334
804	21906	5306
805	21928	5278
806	21950	5249
807	21973	5221
808	21998	5193
809	22039	5169
810	22068	5143
811	22098	5116
812	22121	5088
813	22145	5060
814	22181	5035
815	22207	5007
816	22231	4979
817	22255	4951
818	22281	4924
819	22311	4897
820	22346	4872
821	22372	4844
822	22400	4817
823	22428	4790
824	22454	4762
825	22477	4734
826	22511	4709
827	22536	4681
828	22561	4653
829	22587	4626
830	22609	4598
831	22633	4570
832	22657	4542
833	22691	4516
834	22715	4488
835	22739	4460
836	22764	4433
837	22786	4405
838	22808	4376
839	22834	4349
840	22865	4323
841	22891	4295
842	22922	4268
843	22952	4242
844	22982	4215
845	23015	4189
846	23056	4164
847	23086	4138
848	23110	4110
849	23137	4083
850	23164	4055
851	23199	4030
852	23223	4002
853	23247	3974
854	23272	3946
855	23297	3919
856	23325	3892
857	23357	3865
858	23384	3838
859	23410	3810
860	23436	3783
861	23459	3755
862	23482	3727
863	23512	3701
864	23536	3673
865	23561	3645
866	23584	3617
867	23612	3590
868	23639	3563
869	23663	3535
870	23696	3509
871	23724	3482
872	23747	3454
873	23771	3426
874	23797	3399
875	23822	3372
